"category","repo_id","full_name","html_url","language","license_spdx","stars","forks","open_issues","archived","created_at","updated_at","pushed_at","default_branch"
"mcp-agent","1054793726","ChromeDevTools/chrome-devtools-mcp","https://github.com/ChromeDevTools/chrome-devtools-mcp","TypeScript","Apache-2.0","52310","4221","115","false","2025-09-11T10:39:55Z","2026-09-19T21:00:56Z","2026-09-18T17:11:10Z","main"
"mcp-agent","898345892","wonderwhy-er/DesktopCommanderMCP","https://github.com/wonderwhy-er/DesktopCommanderMCP","TypeScript","MIT","9656","1202","252","false","2024-12-04T08:26:08Z","2026-09-19T18:25:48Z","2026-09-19T20:30:48Z","main"
"mcp-agent","905016458","lastmile-ai/mcp-agent","https://github.com/lastmile-ai/mcp-agent","Python","Apache-2.0","8549","891","138","false","2024-12-18T01:55:10Z","2026-09-19T03:39:41Z","2026-01-25T16:35:16Z","main"
"rag-llm","637924634","vibrantlabsai/ragas","https://github.com/vibrantlabsai/ragas","Python","Apache-2.0","15779","1712","601","false","2023-05-08T17:48:04Z","2026-09-19T19:58:25Z","2026-02-24T07:47:19Z","main"
"rag-llm","730534580","infiniflow/ragflow","https://github.com/infiniflow/ragflow","Go","Apache-2.0","91001","10774","1464","false","2023-12-12T06:13:13Z","2026-09-19T20:48:57Z","2026-09-19T15:32:27Z","main"
"rag-llm","649170660","Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","JavaScript","MIT","66223","7360","317","false","2023-06-04T02:29:14Z","2026-09-19T20:56:24Z","2026-09-19T00:13:36Z","master"
"browser-automation","598667202","lightpanda-io/browser","https://github.com/lightpanda-io/browser","Zig","AGPL-3.0","35442","1682","81","false","2023-02-07T15:19:34Z","2026-09-19T18:06:36Z","2026-09-19T05:38:17Z","main"
"browser-automation","1132001614","vercel-labs/agent-browser","https://github.com/vercel-labs/agent-browser","Rust","Apache-2.0","42878","2877","790","false","2026-01-11T05:38:15Z","2026-09-19T20:47:17Z","2026-09-18T22:18:42Z","main"
"browser-automation","754167312","ServiceNow/BrowserGym","https://github.com/ServiceNow/BrowserGym","Python","NOASSERTION","1369","195","39","false","2024-02-07T14:30:16Z","2026-09-19T06:42:58Z","2026-07-17T18:09:30Z","main"
"time-series","793784055","google-research/timesfm","https://github.com/google-research/timesfm","Python","Apache-2.0","33231","3200","255","false","2024-04-29T21:26:26Z","2026-09-19T20:45:16Z","2026-09-15T20:02:45Z","master"
"time-series","762224673","amazon-science/chronos-forecasting","https://github.com/amazon-science/chronos-forecasting","Python","Apache-2.0","5884","717","38","false","2024-02-23T10:35:42Z","2026-09-19T19:45:08Z","2026-09-17T07:39:21Z","main"
"time-series","73872834","facebook/prophet","https://github.com/facebook/prophet","Python","MIT","20409","4637","455","false","2016-11-16T01:50:08Z","2026-09-19T17:45:49Z","2026-08-27T21:22:30Z","main"
"code-agent","965415649","openai/codex","https://github.com/openai/codex","Rust","Apache-2.0","125299","19444","17891","false","2025-04-13T05:37:54Z","2026-09-19T20:50:13Z","2026-09-19T20:42:09Z","main"
"code-agent","975734319","anomalyco/opencode","https://github.com/anomalyco/opencode","TypeScript","MIT","208617","27464","5987","false","2025-04-30T20:08:00Z","2026-09-19T20:52:46Z","2026-09-19T20:23:17Z","dev"
"code-agent","1158722119","addyosmani/agent-skills","https://github.com/addyosmani/agent-skills","JavaScript","MIT","96951","10233","111","false","2026-02-15T20:20:26Z","2026-09-19T21:01:02Z","2026-09-18T03:32:22Z","main"
